home_parkrun,home_event,prev_event_no,prev_date,next_event_no,next_date,cancellation_date,runner_id,gap_week_parkrun,gap_week_short
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,9022329,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,9121447,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,914073,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,9146297,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,9276471,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,9353775,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,9648275,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,9826908,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,9899865,Did not run,NA
Alexandra,alexandra,167,2024-11-16,168,2024-11-30,2024-11-23,9975064,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,10010047,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,10078194,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,10160210,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,10173271,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,10219946,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,1135549,Barnsley,barnsley
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,1136837,Sale Water,salewater
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,121768,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,136487,Heaton Park,heaton
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,140794,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,149184,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,1501151,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,1552023,Heaton Park,heaton
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,1846124,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,186980,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,1935095,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,2085634,Sale Water,salewater
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,221201,Sale Water,salewater
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,2491894,Heaton Park,heaton
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,2534177,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,256896,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,265199,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,2658941,Heaton Park,heaton
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,275822,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,2777300,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,279027,Woodbank,woodbank
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,2822497,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,3022350,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,323753,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,3413447,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,3884283,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,3898943,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,400505,Wilmslow,wilmslow
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,416839,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,4178841,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,4260292,Krakow,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,4260338,Krakow,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,4415221,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,4661314,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,4855158,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,4935288,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,4953563,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,5016320,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,5081028,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,508653,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,5105628,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,516896,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,544408,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,5517315,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,559777,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,5625311,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,6000177,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,6008193,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,6244012,Wythenshawe,wythenshawe
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,6377766,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,6431885,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,6436955,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,6779492,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,6889195,Heaton Park,heaton
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,7007327,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,7051908,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,709422,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,7156164,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,7201843,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,7328848,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,7447976,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,7529763,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,756357,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,7605465,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,7730170,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,7745477,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,7745480,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,7748163,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,7899104,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,7920173,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,7943362,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,7958003,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,8027686,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,8214535,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,8380127,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,8415336,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,8652967,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,9038899,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,9159114,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,9163884,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,9181278,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,9353775,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,9400046,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,9683375,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,9814162,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,9814451,Did not run,NA
Alexandra,alexandra,168,2024-11-30,169,2024-12-14,2024-12-07,9899865,Did not run,NA
Alexandra,alexandra,174,2025-01-18,175,2025-02-01,2025-01-25,10002763,Bramhall Park,bramhall
Alexandra,alexandra,174,2025-01-18,175,2025-02-01,2025-01-25,10025322,Did not run,NA
Alexandra,alexandra,174,2025-01-18,175,2025-02-01,2025-01-25,10178498,Did not run,NA
Alexandra,alexandra,174,2025-01-18,175,2025-02-01,2025-01-25,10232970,Did not run,NA
Alexandra,alexandra,174,2025-01-18,175,2025-02-01,2025-01-25,10238177,Did not run,NA
